Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Real,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
São Paulo,0,2,Mirassol,TRUE,,Vasco,0,2,Bragantino,TRUE,,Vitória,0,0,Cruzeiro,TRUE,15,Vitória,45,38,11,12,15,35,52,-17
Atlético MG,0,0,Corinthians,TRUE,,Mirassol,1,0,Sport,TRUE,,Fortaleza,2,3,Santos,TRUE,16,Internacional,44,38,11,11,16,45,58,-13
Grêmio,1,0,Bahia,TRUE,,Santos,0,1,Botafogo,TRUE,,Grêmio,1,1,Corinthians,TRUE,17,Ceará,43,38,11,10,17,34,40,-6
Palmeiras,0,2,Flamengo,TRUE,,Juventude,0,2,Grêmio,TRUE,,São Paulo,1,3,Vasco,TRUE,18,Fortaleza,43,38,11,10,17,43,58,-15
Sport,1,1,Internacional,TRUE,,Flamengo,5,0,Fortaleza,TRUE,,Atlético MG,2,0,Internacional,TRUE,19,Juventude,35,38,9,8,21,35,69,-34
Vitória,0,1,Santos,TRUE,,Corinthians,0,0,Vitória,TRUE,,Botafogo,3,3,Mirassol,TRUE,20,Sport,17,38,2,11,25,28,75,-47
Fortaleza,0,2,Cruzeiro,TRUE,,Ceará,0,1,Atlético MG,TRUE,,Palmeiras,4,1,Juventude,TRUE,,,,,,,,,,
Bragantino,1,0,Juventude,TRUE,,Cruzeiro,2,1,Palmeiras,TRUE,,Fluminense,1,0,Ceará,TRUE,,LEGENDA,,,,,,,,
Botafogo,3,2,Ceará,TRUE,,Internacional,0,2,Fluminense,TRUE,,Sport,1,5,Flamengo,TRUE,,,Campeão,,,,,,,
,,,,,,,,,,,,,,,,,,,Libertadores,,,,,,,
Rodada 13,,,,Acertos,,Rodada 14,,,,Acertos,,Rodada 15,,,,Acertos,,,Pré Libertadores,,,,,,,
Flamengo,2,0,São Paulo,TRUE,,Palmeiras,1,1,Mirassol,TRUE,,Fortaleza,1,1,Bahia,TRUE,,,Sul Americana,,,,,,,
Internacional,1,0,Vitória,TRUE,,Ceará,0,1,Corinthians,TRUE,,Vasco,1,1,Grêmio,TRUE,,,Rebaixados,,,,,,,
Vasco,0,2,Botafogo,TRUE,,Santos,1,0,Flamengo,TRUE,,Mirassol,3,0,Santos,TRUE,,,,,,,,,,
Bahia,2,1,Atlético MG,TRUE,,Botafogo,0,0,Vitória,TRUE,,São Paulo,2,0,Corinthians,TRUE,,,,,,,,,,
Corinthians,1,2,Bragantino,TRUE,,Bragantino,2,2,São Paulo,TRUE,,Internacional,1,0,Ceará,TRUE,,,,,,,,,,
Cruzeiro,4,1,Grêmio,TRUE,,Fluminense,0,2,Cruzeiro,TRUE,,Cruzeiro,4,0,Juventude,TRUE,,,,,,,,,,
Fortaleza,0,1,Ceará,TRUE,,Grêmio,2,1,Fortaleza,TRUE,,Vitória,1,0,Bragantino,TRUE,,,,,,,,,,
Juventude,2,0,Sport,TRUE,,Juventude,2,0,Vasco,TRUE,,Palmeiras,3,2,Atlético MG,TRUE,,,,,,,,,,
Mirassol,2,1,Fluminense,TRUE,,Atlético MG,3,1,Sport,TRUE,,Sport,0,1,Botafogo,TRUE,,,,,,,,,,
Santos,1,0,Palmeiras,TRUE,,Bahia,1,0,Internacional,TRUE,,Flamengo,1,0,Fluminense,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 16,,,,Acertos,,Rodada 17,,,,Acertos,,Rodada 18,,,,Acertos,,,,,,,,,,
Fluminense,1,2,Palmeiras,TRUE,,Botafogo,1,1,Corinthians,TRUE,,Sport,0,0,Bahia,TRUE,,,,,,,,,,
