rodada,time_casa,gols_casa,gols_fora,time_fora
19,Bragantino,1,3,Internacional
19,Cruzeiro,1,2,Santos
19,Flamengo,2,1,Mirassol
19,Fortaleza,0,5,Botafogo
19,Grêmio,0,1,Sport
19,Juventude,2,1,Corinthians
19,Palmeiras,2,1,Ceará
19,São Paulo,2,0,Vitória
19,Vasco,1,1,Atlético MG
20,Atlético MG,1,3,Grêmio
20,Botafogo,0,1,Palmeiras
20,Ceará,1,0,Bragantino
20,Corinthians,1,2,Bahia
20,Fluminense,2,1,Fortaleza
20,Internacional,1,3,Flamengo
20,Mirassol,1,1,Cruzeiro
20,Santos,0,6,Vasco
20,Sport,2,2,São Paulo
20,Vitória,2,2,Juventude
21,Bahia,2,0,Santos
21,Bragantino,4,2,Fluminense
21,Cruzeiro,2,1,Internacional
21,Flamengo,8,0,Vitória
21,Fortaleza,0,1,Mirassol
21,Grêmio,0,0,Ceará
21,Juventude,1,3,Botafogo
21,Palmeiras,3,0,Sport
21,São Paulo,2,0,Atlético MG
21,Vasco,2,3,Corinthians
22,Botafogo,4,1,Bragantino
22,Ceará,0,1,Juventude
22,Corinthians,1,1,Palmeiras
22,Cruzeiro,1,0,São Paulo
22,Flamengo,1,1,Grêmio
22,Internacional,2,1,Fortaleza
22,Mirassol,5,1,Bahia
22,Santos,0,0,Fluminense
22,Sport,2,3,Vasco
22,Vitória,1,0,Atlético MG
23,Atlético MG,1,1,Santos
23,Bahia,1,2,Cruzeiro
23,Bragantino,1,1,Sport
23,Fluminense,0,1,Corinthians
23,Fortaleza,2,0,Vitória
23,Grêmio,0,1,Mirassol
23,Juventude,0,2,Flamengo
23,Palmeiras,4,1,Internacional
23,São Paulo,1,0,Botafogo
23,Vasco,2,2,Ceará
24,Botafogo,1,0,Atlético MG
24,Ceará,1,1,Bahia
24,Cruzeiro,2,1,Bragantino
24,Flamengo,1,1,Vasco
24,Internacional,2,3,Grêmio
24,Mirassol,2,0,Juventude
24,Palmeiras,4,1,Fortaleza
24,Santos,1,0,São Paulo
24,Sport,1,0,Corinthians
24,Vitória,0,1,Fluminense
25,Atlético MG,1,0,Mirassol
25,Bahia,1,0,Palmeiras
25,Bragantino,2,2,Santos
25,Corinthians,1,2,Flamengo
25,Fluminense,2,0,Botafogo
25,Fortaleza,1,0,Sport
25,Grêmio,3,1,Vitória
25,Juventude,1,1,Internacional
25,São Paulo,0,1,Ceará
25,Vasco,2,0,Cruzeiro
26,Atlético MG,0,0,Juventude
26,Botafogo,2,1,Bahia
26,Flamengo,0,0,Cruzeiro
26,Fortaleza,0,2,São Paulo
26,Internacional,1,1,Corinthians
26,Mirassol,1,1,Bragantino
26,Palmeiras,3,0,Vasco
26,Santos,1,1,Grêmio
26,Sport,2,2,Fluminense
26,Vitória,1,0,Ceará
27,Bahia,1,0,Flamengo
27,Bragantino,1,0,Grêmio
27,Ceará,3,0,Santos
27,Corinthians,3,0,Mirassol
27,Cruzeiro,1,1,Sport
27,Fluminense,3,0,Atlético MG
27,Internacional,2,0,Botafogo
27,Juventude,1,2,Fortaleza
27,São Paulo,2,3,Palmeiras
27,Vasco,4,3,Vitória
28,Atlético MG,1,1,Cruzeiro
28,Botafogo,0,3,Flamengo
28,Fluminense,1,0,Juventude
28,Fortaleza,0,2,Vasco
28,Grêmio,2,0,São Paulo
28,Mirassol,3,1,Internacional
28,Palmeiras,5,1,Bragantino
28,Santos,3,1,Corinthians
28,Sport,1,1,Ceará
28,Vitória,2,1,Bahia
29,Bahia,4,0,Grêmio
29,Ceará,0,2,Botafogo
29,Corinthians,1,0,Atlético MG
29,Cruzeiro,1,0,Fortaleza
29,Flamengo,3,2,Palmeiras
29,Internacional,2,0,Sport
29,Juventude,1,0,Bragantino
29,Mirassol,3,0,São Paulo
29,Santos,0,1,Vitória
29,Vasco,2,0,Fluminense
30,Atlético MG,1,0,Ceará
30,Botafogo,2,2,Santos
30,Bragantino,0,3,Vasco
30,Fluminense,1,0,Internacional
30,Fortaleza,1,0,Flamengo
30,Grêmio,3,1,Juventude
30,Palmeiras,0,0,Cruzeiro
30,Sport,1,2,Mirassol
30,São Paulo,2,0,Bahia
30,Vitória,0,1,Corinthians
31,Bahia,2,1,Bragantino
31,Ceará,2,0,Fluminense
31,Corinthians,2,0,Grêmio
31,Cruzeiro,3,1,Vitória
31,Flamengo,3,0,Sport
31,Internacional,0,0,Atlético MG
31,Juventude,0,2,Palmeiras
31,Mirassol,0,0,Botafogo
31,Santos,1,1,Fortaleza
31,Vasco,0,2,São Paulo
32,Atlético MG,3,0,Bahia
32,Botafogo,3,0,Vasco
32,Bragantino,2,1,Corinthians
32,Ceará,1,1,Fortaleza
32,Fluminense,1,0,Mirassol
32,Grêmio,0,1,Cruzeiro
32,Palmeiras,2,0,Santos
32,Sport,0,2,Juventude
32,São Paulo,2,2,Flamengo
32,Vitória,1,0,Internacional
33,Corinthians,0,1,Ceará
33,Cruzeiro,0,0,Fluminense
33,Flamengo,3,2,Santos
33,Fortaleza,2,2,Grêmio
33,Internacional,2,2,Bahia
33,Mirassol,2,1,Palmeiras
33,Sport,2,4,Atlético MG
33,São Paulo,0,1,Bragantino
33,Vasco,1,3,Juventude
33,Vitória,0,0,Botafogo
34,Atlético MG,0,3,Palmeiras
34,Bahia,2,3,Fortaleza
34,Botafogo,3,2,Sport
34,Bragantino,4,0,Vitória
34,Ceará,1,2,Internacional
34,Corinthians,3,1,São Paulo
34,Fluminense,2,1,Flamengo
34,Grêmio,2,0,Vasco
34,Juventude,3,3,Cruzeiro
34,Santos,1,1,Mirassol
35,Bahia,1,0,Vasco
35,Botafogo,3,2,Grêmio
35,Cruzeiro,3,0,Corinthians
35,Flamengo,3,0,Bragantino
35,Fortaleza,1,0,Atlético MG
35,Internacional,1,1,Santos
35,Mirassol,3,0,Ceará
35,Palmeiras,0,0,Fluminense
35,Sport,1,3,Vitória
35,São Paulo,2,1,Juventude
36,Atlético MG,1,1,Flamengo
36,Bragantino,0,1,Fortaleza
36,Ceará,1,1,Cruzeiro
36,Corinthians,2,2,Botafogo
36,Fluminense,6,0,São Paulo
36,Grêmio,3,2,Palmeiras
36,Juventude,1,1,Bahia
36,Santos,3,0,Sport
36,Vasco,5,1,Internacional
36,Vitória,2,0,Mirassol
37,Bahia,2,0,Sport
37,Bragantino,2,0,Atlético MG
37,Cruzeiro,2,2,Botafogo
37,Flamengo,1,0,Ceará
37,Fortaleza,2,1,Corinthians
37,Grêmio,1,2,Fluminense
37,Juventude,0,3,Santos
37,Palmeiras,0,0,Vitória
37,São Paulo,3,0,Internacional
37,Vasco,0,2,Mirassol
38,Atlético MG,5,0,Vasco
38,Botafogo,4,2,Fortaleza
38,Ceará,1,3,Palmeiras
38,Corinthians,1,1,Juventude
38,Fluminense,2,0,Bahia
38,Internacional,3,1,Bragantino
38,Mirassol,3,3,Flamengo
38,Santos,3,0,Cruzeiro
38,Sport,0,4,Grêmio
38,Vitória,1,0,São Paulo
