Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Vaz,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Sport,0,1,Internacional,0,,Flamengo,4,0,Fortaleza,3,,Atlético MG,1,1,Internacional,0,19,Sport,11,38,2,5,31,17,77,-60
Vitória,0,1,Santos,5,,Corinthians,3,0,Vitória,0,,Botafogo,2,1,Mirassol,0,20,Vitória,11,38,1,8,29,16,77,-61
Fortaleza,2,1,Cruzeiro,0,,Ceará,2,2,Atlético MG,0,,Palmeiras,3,0,Juventude,4,,,,,,,,,,
Bragantino,1,1,Juventude,0,,Cruzeiro,2,3,Palmeiras,0,,Fluminense,2,1,Ceará,4,,,,,,,,LEGENDA,,
Botafogo,2,0,Ceará,3,,Internacional,2,1,Fluminense,0,,Sport,0,4,Flamengo,4,,,,,,,,,Campeão,
,,,,,,,,,,,,,,,,,,,,,,,,,Libertadores,
Rodada 13,,,,Acertos,,Rodada 14,,,,Acertos,,Rodada 15,,,,Acertos,,,,,,,,,Pré Libertadores,
Flamengo,2,1,São Paulo,3,,Palmeiras,3,1,Mirassol,0,,Fortaleza,1,1,Bahia,5,,,,,,,,,Sul Americana,
Internacional,2,0,Vitória,3,,Ceará,2,1,Corinthians,0,,Vasco,1,0,Grêmio,0,,,,,,,,,Rebaixados,
Vasco,0,3,Botafogo,3,,Santos,0,4,Flamengo,0,,Mirassol,2,2,Santos,0,,,,,,,,,,
Bahia,1,2,Atlético MG,0,,Botafogo,3,0,Vitória,0,,São Paulo,2,1,Corinthians,3,,,,,,,,,,
Corinthians,1,1,Bragantino,0,,Bragantino,2,2,São Paulo,5,,Internacional,0,1,Ceará,0,,,,,,,,,,
Cruzeiro,2,0,Grêmio,3,,Fluminense,1,1,Cruzeiro,0,,Cruzeiro,3,0,Juventude,3,,,,,,,,,,
Fortaleza,1,2,Ceará,4,,Grêmio,1,1,Fortaleza,0,,Vitória,1,2,Bragantino,0,,,,,,,,,,
Juventude,2,0,Sport,5,,Juventude,2,1,Vasco,3,,Palmeiras,2,1,Atlético MG,4,,,,,,,,,,
Mirassol,1,2,Fluminense,0,,Atlético MG,3,0,Sport,3,,Sport,0,2,Botafogo,3,,,,,,,,,,
Santos,1,3,Palmeiras,0,,Bahia,1,0,Internacional,5,,Flamengo,1,1,Fluminense,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 16,,,,Acertos,,Rodada 17,,,,Acertos,,Rodada 18,,,,Acertos,,,,,,,,,,
Fluminense,1,1,Palmeiras,0,,Botafogo,2,1,Corinthians,0,,Sport,0,1,Bahia,0,,,,,,,,,,
Ceará,1,1,Mirassol,0,,Fortaleza,0,1,Bragantino,0,,Mirassol,1,1,Vasco,0,,,,,,,,,,
Corinthians,0,2,Cruzeiro,0,,Mirassol,2,0,Vitória,0,,Fluminense,1,2,Grêmio,0,,,,,,,,,,
Santos,1,0,Internacional,0,,Sport,0,1,Santos,0,,Botafogo,2,1,Cruzeiro,0,,,,,,,,,,
Bragantino,1,2,Flamengo,5,,Palmeiras,3,1,Grêmio,3,,Corinthians,2,1,Fortaleza,0,,,,,,,,,,
Vitória,3,0,Sport,0,,Cruzeiro,2,2,Ceará,0,,Atlético MG,0,0,Bragantino,0,,,,,,,,,,
Juventude ,0,2,São Paulo,3,,São Paulo,1,1,Fluminense,0,,Ceará,1,0,Flamengo,0,,,,,,,,,,
Grêmio,0,1,Botafogo,0,,Bahia,0,0,Juventude,0,,Vitória,0,2,Palmeiras,0,,,,,,,,,,
Vasco,1,1,Bahia,0,,Internacional,1,1,Vasco,5,,Internacional,0,1,São Paulo,4,,,,,,,,,,
Atlético MG,2,1,Fortaleza,0,,Flamengo,2,0,Atlético MG,3,,Santos,2,0,Juventude,4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 19,,,,Acertos,,Rodada 20,,,,Acertos,,Rodada 21,,,,Acertos,,,,,,,,,,
Flamengo,1,1,Mirassol,0,,Fluminense,2,1,Fortaleza,5,,Bragantino,0,1,Fluminense,0,,,,,,,,,,
São Paulo,2,0,Vitória,5,,Ceará,2,2,Bragantino,0,,Cruzeiro,2,1,Internacional,5,,,,,,,,,,
Bragantino,2,1,Internacional,0,,Vitória,0,2,Juventude,0,,Grêmio,2,0,Ceará,0,,,,,,,,,,
Fortaleza,1,2,Botafogo,3,,Sport,1,4,São Paulo,0,,Vasco,3,1,Corinthians,0,,,,,,,,,,
Bahia,1,1,Fluminense,3,,Corinthians,1,1,Bahia,0,,Bahia,0,2,Santos,0,,,,,,,,,,
Vasco,1,0,Atlético MG,0,,Santos,2,1,Vasco,0,,Fortaleza,1,2,Mirassol,4,,,,,,,,,,
Palmeiras,2,0,Ceará,3,,Atlético MG,3,1,Grêmio,0,,Juventude,2,2,Botafogo,0,,,,,,,,,,
Cruzeiro,2,2,Santos,0,,Internacional,2,1,Flamengo,0,,São Paulo,1,1,Atlético MG,0,,,,,,,,,,
Grêmio,1,0,Sport,0,,Botafogo,2,1,Palmeiras,0,,Palmeiras,3,1,Sport,3,,,,,,,,,,
Juventude,0,0,Corinthians,0,,Mirassol,1,3,Cruzeiro,0,,Flamengo,4,0,Vitória,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 22,,,,Acertos,,Rodada 23,,,,Acertos,,Rodada 24,,,,Acertos,,,,,,,,,,
Ceará,2,0,Juventude,0,,Grêmio,1,1,Mirassol,0,,Vitória,0,2,Fluminense,3,,,,,,,,,,
Botafogo,1,0,Bragantino,3,,Fortaleza,0,0,Vitória,0,,Botafogo,1,1,Atlético MG,0,,,,,,,,,,
Cruzeiro,2,2,São Paulo,0,,Palmeiras,3,0,Internacional,4,,Ceará,3,2,Bahia,0,,,,,,,,,,
Flamengo,2,2,Grêmio,3,,Fluminense,1,0,Corinthians,0,,Palmeiras,3,1,Fortaleza,3,,,,,,,,,,
Santos,1,2,Fluminense,0,,Bragantino,2,0,Sport,0,,Mirassol,2,0,Juventude,5,,,,,,,,,,
Corinthians,1,3,Palmeiras,0,,Atlético MG,4,0,Santos,0,,Flamengo,2,1,Vasco,0,,,,,,,,,,
Mirassol,2,0,Bahia,3,,Juventude,1,3,Flamengo,4,,Internacional,1,0,Grêmio,0,,,,,,,,,,
Vitória,0,1,Atlético MG,0,,São Paulo,1,1,Botafogo,0,,Sport,0,4,Corinthians,0,,,,,,,,,,
Internacional,1,0,Fortaleza,4,,Vasco,2,1,Ceará,0,,Santos,1,4,São Paulo,0,,,,,,,,,,
Sport,2,0,Vasco,0,,Bahia,2,2,Cruzeiro,0,,Cruzeiro,2,2,Bragantino,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 25,,,,Acertos,,Rodada 26,,,,Acertos,,Rodada 27,,,,Acertos,,,,,,,,,,
Fortaleza,1,1,Sport,0,,Atlético MG,3,1,Juventude,0,,Fluminense,,,Atlético MG,0,,,,,,,,,,
Vasco,0,2,Cruzeiro,0,,Palmeiras,2,0,Vasco,3,,Bragantino,,,Grêmio,0,,,,,,,,,,
Juventude,1,2,Internacional,0,,Mirassol,1,1,Bragantino,5,,Internacional,,,Botafogo,0,,,,,,,,,,
Atlético MG,1,1,Mirassol,0,,Sport,0,0,Fluminense,3,,Corinthians,,,Mirassol,0,,,,,,,,,,
Grêmio,2,1,Vitória,3,,Internacional,1,2,Corinthians,0,,Vasco,3,0,Vitória,3,,,,,,,,,,
Fluminense,0,2,Botafogo,0,,Botafogo,1,0,Bahia,4,,São Paulo,2,2,Palmeiras,0,,,,,,,,,,
Bahia,1,3,Palmeiras,0,,Santos,1,1,Grêmio,5,,Bahia,1,3,Flamengo,0,,,,,,,,,,
Bragantino,0,1,Santos,0,,Vitória,1,2,Ceará,0,,Juventude,1,1,Fortaleza,0,,,,,,,,,,
Corinthians,1,2,Flamengo,5,,Fortaleza,0,2,São Paulo,5,,Cruzeiro,2,0,Sport,0,,,,,,,,,,
São Paulo,3,0,Ceará,0,,Flamengo,3,1,Cruzeiro,0,,Ceará,0,1,Santos,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 28,,,,Acertos,,Rodada 29,,,,Acertos,,Rodada 30,,,,Acertos,,,,,,,,,,
Palmeiras,1,1,Bragantino,0,,Corinthians,1,0,Atlético MG,5,,Atlético MG,1,1,Ceará,0,,,,,,,,,,
Botafogo,2,2,Flamengo,0,,Cruzeiro,3,1,Fortaleza,3,,Vitória,0,3,Corinthians,3,,,,,,,,,,
Mirassol,2,3,Internacional,0,,Flamengo,1,1,Palmeiras,0,,Fluminense,2,0,Internacional,3,,,,,,,,,,
Sport,1,3,Ceará,0,,Mirassol,1,2,São Paulo,0,,Sport,0,3,Mirassol,3,,,,,,,,,,
Santos,0,2,Corinthians,0,,Internacional,3,0,Sport,3,,Fortaleza,1,2,Flamengo,0,,,,,,,,,,
Atlético MG,0,2,Cruzeiro,0,,Ceará,1,2,Botafogo,3,,São Paulo,1,0,Bahia,3,,,,,,,,,,
Fortaleza,2,1,Vasco,0,,Bahia,1,0,Grêmio,3,,Botafogo,2,1,Santos,3,,,,,,,,,,
Grêmio,2,1,São Paulo,3,,Juventude,2,2,Bragantino,0,,Grêmio,1,0,Juventude,3,,,,,,,,,,
Fluminense,1,0,Juventude,5,,Vasco,1,3,Fluminense,0,,Bragantino,1,1,Vasco,0,,,,,,,,,,
Vitória,0,2,Bahia,0,,Santos,0,0,Vitória,0,,Palmeiras,2,0,Cruzeiro,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 31,,,,Acertos,,Rodada 32,,,,Acertos,,Rodada 33,,,,Acertos,,,,,,,,,,
Santos,1,0,Fortaleza,0,,Bragantino,1,1,Corinthians,0,,Sport,0,3,Atlético MG,3,,,,,,,,,,
Cruzeiro,3,0,Vitória,3,,Vitória,1,3,Internacional,0,,Vasco,2,0,Juventude,0,,,,,,,,,,
Mirassol,1,1,Botafogo,3,,Sport,0,1,Juventude,3,,Internacional,1,0,Bahia,0,,,,,,,,,,
Flamengo,4,0,Sport,3,,Botafogo,2,0,Vasco,3,,São Paulo,2,1,Bragantino,0,,,,,,,,,,
Corinthians,2,1,Grêmio,3,,Atlético MG,2,1,Bahia,3,,Corinthians,0,0,Ceará,0,,,,,,,,,,
Bahia,2,2,Bragantino,0,,Grêmio,1,1,Cruzeiro,0,,Cruzeiro,1,1,Fluminense,3,,,,,,,,,,
Ceará,2,3,Fluminense,0,,São Paulo,2,2,Flamengo,5,,Vitória,0,4,Botafogo,0,,,,,,,,,,
Internacional,0,0,Atlético MG,5,,Fluminense,2,0,Mirassol,3,,Flamengo,4,1,Santos,3,,,,,,,,,,
Juventude,1,2,Palmeiras,3,,Ceará,0,0,Fortaleza,3,,Mirassol,1,3,Palmeiras,0,,,,,,,,,,
Vasco,3,2,São Paulo,0,,Palmeiras,4,1,Santos,3,,Fortaleza,2,2,Grêmio,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 34,,,,Acertos,,Rodada 35,,,,Acertos,,Rodada 36,,,,Acertos,,,,,,,,,,
Botafogo,3,1,Sport,3,,Botafogo,2,0,Grêmio,3,,Atlético MG,0,1,Flamengo,0,,,,,,,,,,
Fluminense,1,1,Flamengo,0,,Flamengo,3,1,Bragantino,3,,Grêmio,0,4,Palmeiras,0,,,,,,,,,,
Grêmio,1,2,Vasco,0,,Palmeiras,2,1,Fluminense,0,,Bragantino,1,1,Fortaleza,0,,,,,,,,,,
Santos,2,2,Mirassol,3,,São Paulo,3,1,Juventude,3,,Fluminense,0,0,São Paulo,0,,,,,,,,,,
Juventude,0,3,Cruzeiro,0,,Bahia,2,0,Vasco,3,,Juventude,1,2,Bahia,0,,,,,,,,,,
Bahia,0,1,Fortaleza,0,,Sport,1,1,Vitória,0,,Vasco,2,1,Internacional,3,,,,,,,,,,
Corinthians,0,2,São Paulo,0,,Cruzeiro,1,2,Corinthians,0,,Santos,3,1,Sport,3,,,,,,,,,,
Ceará,3,0,Internacional,0,,Mirassol,1,1,Ceará,0,,Vitória,0,3,Mirassol,0,,,,,,,,,,
Bragantino,2,0,Vitória,3,,Internacional,0,0,Santos,3,,Ceará,2,2,Cruzeiro,3,,,,,,,,,,
Atlético MG,1,3,Palmeiras,3,,Fortaleza,,,Atlético MG,0,,Corinthians,1,3,Botafogo,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 37,,,,Acertos,,Rodada 38,,,,Acertos,,,,,,,,,,,,,,,,
Bragantino,1,1,Atlético MG,0,,Mirassol,2,1,Flamengo,0,,,,,,,,,,,,,,,,
Palmeiras,4,1,Vitória,0,,Fluminense,0,0,Bahia,0,,,,,,,,,,,,,,,,
Vasco,2,1,Mirassol,0,,Botafogo,2,1,Fortaleza,3,,,,,,,,,,,,,,,,
Grêmio,1,2,Fluminense,5,,Corinthians,1,0,Juventude,0,,,,,,,,,,,,,,,,
Fortaleza,1,1,Corinthians,0,,Santos,2,2,Cruzeiro,0,,,,,,,,,,,,,,,,
Juventude,0,1,Santos,3,,Atlético MG,3,0,Vasco,3,,,,,,,,,,,,,,,,
São Paulo,3,0,Internacional,5,,Internacional,0,1,Bragantino,0,,,,,,,,,,,,,,,,
Bahia,3,1,Sport,4,,Vitória,0,3,São Paulo,0,,,,,,,,,,,,,,,,
Flamengo,0,0,Ceará,0,,Ceará,1,1,Palmeiras,0,,,,,,,,,,,,,,,,
Cruzeiro,1,1,Botafogo,3,,Sport,2,0,Grêmio,0,,,,,,,,,,,,,,,,
