Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Paulo,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Sport,0,3,Internacional,0,,Flamengo,3,1,Fortaleza,3,,Atlético MG,2,1,Internacional,3,19,Palmeiras,35,38,5,20,13,45,58,-13
Vitória,2,1,Santos,0,,Corinthians,1,0,Vitória,0,,Botafogo,1,1,Mirassol,3,20,Sport,29,38,6,11,21,22,67,-45
Fortaleza,2,2,Cruzeiro,0,,Ceará,1,1,Atlético MG,0,,Palmeiras,0,1,Juventude,0,,,,,,,,,,
Bragantino,2,0,Juventude,3,,Cruzeiro,2,0,Palmeiras,3,,Fluminense,3,0,Ceará,3,,,,,,,,LEGENDA,,
Botafogo,2,0,Ceará,3,,Internacional,1,0,Fluminense,0,,Sport,0,5,Flamengo,3,,,,,,,,,Campeão,
,,,,,,,,,,,,,,,,,,,,,,,,,Libertadores,
Rodada 13,,,,Acertos,,Rodada 14,,,,Acertos,,Rodada 15,,,,Acertos,,,,,,,,,Pré Libertadores,
Flamengo,4,0,São Paulo,3,,Palmeiras,1,0,Mirassol,0,,Fortaleza,0,3,Bahia,0,,,,,,,,,Sul Americana,
Internacional,2,1,Vitória,4,,Ceará,2,1,Corinthians,0,,Vasco,1,2,Grêmio,0,,,,,,,,,Rebaixados,
Vasco,1,1,Botafogo,0,,Santos,1,3,Flamengo,0,,Mirassol,2,0,Santos,3,,,,,,,,,,
Bahia,0,0,Atlético MG,0,,Botafogo,2,1,Vitória,0,,São Paulo,1,1,Corinthians,0,,,,,,,,,,
Corinthians,0,0,Bragantino,0,,Bragantino,1,1,São Paulo,3,,Internacional,1,0,Ceará,5,,,,,,,,,,
Cruzeiro,2,1,Grêmio,3,,Fluminense,2,1,Cruzeiro,0,,Cruzeiro,4,0,Juventude,5,,,,,,,,,,
Fortaleza,2,0,Ceará,0,,Grêmio,2,0,Fortaleza,3,,Vitória,2,1,Bragantino,4,,,,,,,,,,
Juventude,2,1,Sport,3,,Juventude,2,1,Vasco,3,,Palmeiras,1,1,Atlético MG,0,,,,,,,,,,
Mirassol,3,1,Fluminense,3,,Atlético MG,2,0,Sport,4,,Sport,0,2,Botafogo,3,,,,,,,,,,
Santos,3,1,Palmeiras,3,,Bahia,3,1,Internacional,3,,Flamengo,3,1,Fluminense,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 16,,,,Acertos,,Rodada 17,,,,Acertos,,Rodada 18,,,,Acertos,,,,,,,,,,
Fluminense,1,1,Palmeiras,0,,Botafogo,1,1,Corinthians,5,,Sport,1,1,Bahia,3,,,,,,,,,,
Ceará,1,1,Mirassol,0,,Fortaleza,0,1,Bragantino,0,,Mirassol,2,1,Vasco,4,,,,,,,,,,
Corinthians,2,1,Cruzeiro,0,,Mirassol,2,0,Vitória,0,,Fluminense,1,1,Grêmio,0,,,,,,,,,,
Santos,1,3,Internacional,3,,Sport,0,0,Santos,3,,Botafogo,2,1,Cruzeiro,0,,,,,,,,,,
Bragantino,0,2,Flamengo,3,,Palmeiras,1,1,Grêmio,0,,Corinthians,2,0,Fortaleza,0,,,,,,,,,,
Vitória,2,0,Sport,0,,Cruzeiro,1,2,Ceará,5,,Atlético MG,1,1,Bragantino,0,,,,,,,,,,
Juventude ,2,1,São Paulo,0,,São Paulo,2,1,Fluminense,3,,Ceará,0,2,Flamengo,0,,,,,,,,,,
Grêmio,1,1,Botafogo,5,,Bahia,3,0,Juventude,5,,Vitória,2,2,Palmeiras,5,,,,,,,,,,
Vasco,1,2,Bahia,0,,Internacional,3,0,Vasco,0,,Internacional,2,0,São Paulo,0,,,,,,,,,,
Atlético MG,1,1,Fortaleza,3,,Flamengo,5,0,Atlético MG,3,,Santos,1,0,Juventude,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 19,,,,Acertos,,Rodada 20,,,,Acertos,,Rodada 21,,,,Acertos,,,,,,,,,,
Flamengo,3,0,Mirassol,3,,Fluminense,2,0,Fortaleza,3,,Bragantino,1,0,Fluminense,3,,,,,,,,,,
São Paulo,2,0,Vitória,5,,Ceará,1,1,Bragantino,0,,Cruzeiro,0,0,Internacional,0,,,,,,,,,,
Bragantino,2,1,Internacional,0,,Vitória,1,0,Juventude,0,,Grêmio,0,2,Ceará,0,,,,,,,,,,
Fortaleza,1,1,Botafogo,0,,Sport,2,1,São Paulo,0,,Vasco,2,1,Corinthians,0,,,,,,,,,,
Bahia,2,1,Fluminense,0,,Corinthians,1,2,Bahia,5,,Bahia,2,0,Santos,5,,,,,,,,,,
Vasco,1,0,Atlético MG,0,,Santos,1,1,Vasco,0,,Fortaleza,1,1,Mirassol,0,,,,,,,,,,
Palmeiras,1,1,Ceará,0,,Atlético MG,2,1,Grêmio,0,,Juventude,2,1,Botafogo,0,,,,,,,,,,
Cruzeiro,2,2,Santos,0,,Internacional,0,2,Flamengo,4,,São Paulo,3,1,Atlético MG,4,,,,,,,,,,
Grêmio,2,1,Sport,0,,Botafogo,2,1,Palmeiras,0,,Palmeiras,2,0,Sport,3,,,,,,,,,,
Juventude,2,0,Corinthians,3,,Mirassol,2,1,Cruzeiro,0,,Flamengo,4,0,Vitória,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 22,,,,Acertos,,Rodada 23,,,,Acertos,,Rodada 24,,,,Acertos,,,,,,,,,,
Ceará,2,0,Juventude,0,,Grêmio,1,1,Mirassol,0,,Vitória,2,0,Fluminense,0,,,,,,,,,,
Botafogo,2,1,Bragantino,3,,Fortaleza,2,1,Vitória,3,,Botafogo,3,1,Atlético MG,3,,,,,,,,,,
Cruzeiro,1,1,São Paulo,0,,Palmeiras,1,1,Internacional,0,,Ceará,2,1,Bahia,0,,,,,,,,,,
Flamengo,3,1,Grêmio,0,,Fluminense,2,1,Corinthians,0,,Palmeiras,1,1,Fortaleza,0,,,,,,,,,,
Santos,1,0,Fluminense,0,,Bragantino,0,0,Sport,3,,Mirassol,4,0,Juventude,3,,,,,,,,,,
Corinthians,2,1,Palmeiras,0,,Atlético MG,3,1,Santos,0,,Flamengo,4,1,Vasco,0,,,,,,,,,,
Mirassol,3,2,Bahia,3,,Juventude,0,5,Flamengo,3,,Internacional,2,1,Grêmio,0,,,,,,,,,,
Vitória,1,0,Atlético MG,5,,São Paulo,2,1,Botafogo,4,,Sport,1,0,Corinthians,5,,,,,,,,,,
Internacional,2,0,Fortaleza,3,,Vasco,1,0,Ceará,0,,Santos,2,1,São Paulo,4,,,,,,,,,,
Sport,1,0,Vasco,0,,Bahia,1,1,Cruzeiro,0,,Cruzeiro,3,1,Bragantino,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 25,,,,Acertos,,Rodada 26,,,,Acertos,,Rodada 27,,,,Acertos,,,,,,,,,,
Fortaleza,1,1,Sport,0,,Atlético MG,,,Juventude,0,,Fluminense,2,1,Atlético MG,3,,,,,,,,,,
Vasco,2,1,Cruzeiro,3,,Palmeiras,1,1,Vasco,0,,Bragantino,1,0,Grêmio,5,,,,,,,,,,
Juventude,2,0,Internacional,0,,Mirassol,3,0,Bragantino,0,,Internacional,2,1,Botafogo,3,,,,,,,,,,
Atlético MG,1,3,Mirassol,0,,Sport,1,0,Fluminense,0,,Corinthians,3,1,Mirassol,3,,,,,,,,,,
Grêmio,1,1,Vitória,0,,Internacional,2,1,Corinthians,0,,Vasco,2,0,Vitória,3,,,,,,,,,,
Fluminense,1,1,Botafogo,0,,Botafogo,0,2,Bahia,0,,São Paulo,1,1,Palmeiras,0,,,,,,,,,,
Bahia,3,2,Palmeiras,4,,Santos,1,0,Grêmio,0,,Bahia,1,3,Flamengo,0,,,,,,,,,,
Bragantino,2,1,Santos,0,,Vitória,2,0,Ceará,3,,Juventude,2,0,Fortaleza,0,,,,,,,,,,
Corinthians,0,3,Flamengo,3,,Fortaleza,0,2,São Paulo,5,,Cruzeiro,3,0,Sport,0,,,,,,,,,,
São Paulo,3,1,Ceará,0,,Flamengo,3,1,Cruzeiro,0,,Ceará,1,0,Santos,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 28,,,,Acertos,,Rodada 29,,,,Acertos,,Rodada 30,,,,Acertos,,,,,,,,,,
Palmeiras,1,1,Bragantino,0,,Corinthians,0,1,Atlético MG,0,,Atlético MG,1,0,Ceará,5,,,,,,,,,,
Botafogo,1,3,Flamengo,3,,Cruzeiro,3,0,Fortaleza,3,,Vitória,2,1,Corinthians,0,,,,,,,,,,
Mirassol,2,0,Internacional,4,,Flamengo,4,1,Palmeiras,3,,Fluminense,2,0,Internacional,3,,,,,,,,,,
Sport,1,1,Ceará,5,,Mirassol,2,0,São Paulo,3,,Sport,1,3,Mirassol,3,,,,,,,,,,
Santos,1,1,Corinthians,0,,Internacional,1,1,Sport,0,,Fortaleza,0,3,Flamengo,0,,,,,,,,,,
