Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Willian,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Sport,2,1,Internacional,0,,Flamengo,3,0,Fortaleza,3,,Atlético MG,1,2,Internacional,0,19,Vitória,33,38,8,9,21,27,54,-27
Vitória,0,1,Santos,5,,Corinthians,3,0,Vitória,0,,Botafogo,1,2,Mirassol,0,20,Sport,19,38,5,4,29,20,69,-49
Fortaleza,1,3,Cruzeiro,4,,Ceará,2,0,Atlético MG,0,,Palmeiras,1,0,Juventude,3,,,,,,,,,,
Bragantino,4,0,Juventude,3,,Cruzeiro,0,2,Palmeiras,0,,Fluminense,2,0,Ceará,3,,,,,,,,LEGENDA,,
Botafogo,2,0,Ceará,3,,Internacional,1,2,Fluminense,3,,Sport,0,2,Flamengo,3,,,,,,,,,Campeão,
,,,,,,,,,,,,,,,,,,,,,,,,,Libertadores,
Rodada 13,,,,Acertos,,Rodada 14,,,,Acertos,,Rodada 15,,,,Acertos,,,,,,,,,Pré Libertadores,
Flamengo,0,0,São Paulo,0,,Palmeiras,3,1,Mirassol,0,,Fortaleza,2,1,Bahia,0,,,,,,,,,Sul Americana,
Internacional,2,0,Vitória,3,,Ceará,1,0,Corinthians,0,,Vasco,2,1,Grêmio,0,,,,,,,,,Rebaixados,
Vasco,1,1,Botafogo,0,,Santos,0,2,Flamengo,0,,Mirassol,2,1,Santos,3,,,,,,,,,,
Bahia,2,1,Atlético MG,5,,Botafogo,2,0,Vitória,0,,São Paulo,3,1,Corinthians,4,,,,,,,,,,
Corinthians,0,1,Bragantino,4,,Bragantino,1,0,São Paulo,0,,Internacional,1,1,Ceará,0,,,,,,,,,,
Cruzeiro,1,0,Grêmio,3,,Fluminense,2,1,Cruzeiro,0,,Cruzeiro,3,0,Juventude,3,,,,,,,,,,
Fortaleza,0,2,Ceará,3,,Grêmio,1,1,Fortaleza,0,,Vitória,0,1,Bragantino,0,,,,,,,,,,
Juventude,2,1,Sport,3,,Juventude,2,1,Vasco,3,,Palmeiras,0,0,Atlético MG,0,,,,,,,,,,
Mirassol,1,2,Fluminense,0,,Atlético MG,1,0,Sport,3,,Sport,0,4,Botafogo,3,,,,,,,,,,
Santos,1,2,Palmeiras,0,,Bahia,2,0,Internacional,3,,Flamengo,0,1,Fluminense,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 16,,,,Acertos,,Rodada 17,,,,Acertos,,Rodada 18,,,,Acertos,,,,,,,,,,
Fluminense,1,0,Palmeiras,0,,Botafogo,2,0,Corinthians,0,,Sport,0,2,Bahia,0,,,,,,,,,,
Ceará,2,2,Mirassol,0,,Fortaleza,1,2,Bragantino,0,,Mirassol,2,1,Vasco,4,,,,,,,,,,
Corinthians,1,2,Cruzeiro,0,,Mirassol,2,0,Vitória,0,,Fluminense,2,1,Grêmio,4,,,,,,,,,,
Santos,1,1,Internacional,0,,Sport,1,2,Santos,0,,Botafogo,1,0,Cruzeiro,0,,,,,,,,,,
Bragantino,1,1,Flamengo,0,,Palmeiras,3,2,Grêmio,4, ,Corinthians,1,0,Fortaleza,0,,,,,,,,,,
Vitória,0,1,Sport,0,,Cruzeiro,3,0,Ceará,0,,Atlético MG,2,0,Bragantino,3,,,,,,,,,,
Juventude ,1,1,São Paulo,0,,São Paulo,1,1,Fluminense,0,,Ceará,1,3,Flamengo,0,,,,,,,,,,
Grêmio,1,0,Botafogo,0,,Bahia,2,0,Juventude,3,,Vitória,1,2,Palmeiras,0,,,,,,,,,,
