Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Kelder,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Sport,0,3,Internacional,0,,Flamengo,3,1,Fortaleza,3,,Atlético MG,0,0,Internacional,0,19,Sport,24,38,6,6,26,24,59,-35
Vitória,1,0,Santos,0,,Corinthians,2,1,Vitória,0,,Botafogo,2,1,Mirassol,0,20,Juventude,19,37,5,4,28,20,56,-36
Fortaleza,0,0,Cruzeiro,0,,Ceará,2,2,Atlético MG,0,,Palmeiras,1,0,Juventude,3,,,,,,,,,,
Bragantino,3,1,Juventude,3,,Cruzeiro,0,1,Palmeiras,0,,Fluminense,1,1,Ceará,0,,,,,,,,LEGENDA,,
Botafogo,1,0,Ceará,4,,Internacional,0,1,Fluminense,3,,Sport,0,3,Flamengo,3,,,,,,,,,Campeão,
,,,,,,,,,,,,,,,,,,,,,,,,,Libertadores,
Rodada 13,,,,Acertos,,Rodada 14,,,,Acertos,,Rodada 15,,,,Acertos,,,,,,,,,Pré Libertadores,
Flamengo,1,0,São Paulo,3,,Palmeiras,2,1,Mirassol,0,,Fortaleza,0,0,Bahia,3,,,,,,,,,Sul Americana,
Internacional,2,1,Vitória,3,,Ceará,1,1,Corinthians,0,,Vasco,1,0,Grêmio,0,,,,,,,,,Rebaixados,
Vasco,1,1,Botafogo,0,,Santos,2,3,Flamengo,0,,Mirassol,0,1,Santos,0,,,,,,,,,,
Bahia,3,0,Atlético MG,3,,Botafogo,2,1,Vitória,0,,São Paulo,1,1,Corinthians,0,,,,,,,,,,
Corinthians,2,2,Bragantino,0,,Bragantino,2,0,São Paulo,0,,Internacional,2,1,Ceará,4,,,,,,,,,,
Cruzeiro,3,2,Grêmio,3,,Fluminense,2,2,Cruzeiro,0,,Cruzeiro,1,0,Juventude,3,,,,,,,,,,
Fortaleza,0,2,Ceará,3,,Grêmio,0,1,Fortaleza,0,,Vitória,0,1,Bragantino,0,,,,,,,,,,
Juventude,1,0,Sport,3,,Juventude,1,0,Vasco,3,,Palmeiras,2,0,Atlético MG,4,,,,,,,,,,
Mirassol,2,1,Fluminense,5,,Atlético MG,1,0,Sport,3,,Sport,1,0,Botafogo,0,,,,,,,,,,
Santos,1,2,Palmeiras,0,,Bahia,3,1,Internacional,3,,Flamengo,1,1,Fluminense,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 16,,,,Acertos,,Rodada 17,,,,Acertos,,Rodada 18,,,,Acertos,,,,,,,,,,
Fluminense,1,0,Palmeiras,0,,Botafogo,2,1,Corinthians,0,,Sport,0,1,Bahia,0,,,,,,,,,,
Ceará,1,2,Mirassol,3,,Fortaleza,0,2,Bragantino,0,,Mirassol,2,1,Vasco,4,,,,,,,,,,
Corinthians,1,2,Cruzeiro,0,,Mirassol,3,1,Vitória,0,,Fluminense,0,0,Grêmio,0,,,,,,,,,,
Santos,1,1,Internacional,0,,Sport,1,1,Santos,3,,Botafogo,2,3,Cruzeiro,3,,,,,,,,,,
